-2.454288,-2.352941,-0.988235,-0.447059,-0.211765
-2.300895,-2.164706,-0.894118,-0.400000,-0.188235
-2.147502,-1.976471,-0.800000,-0.352941,-0.164706
-1.994109,-1.788235,-0.705882,-0.305882,-0.141176
-1.840716,-1.600000,-0.611765,-0.258824,-0.117647
-1.687323,-1.411765,-0.517647,-0.211765,-0.094118
-1.533930,-1.223529,-0.423529,-0.164706,-0.070588
-1.380537,-1.035294,-0.329412,-0.117647,-0.047059
-1.227144,-0.847059,-0.235294,-0.070588,-0.023529
-1.073751,-0.658824,-0.141176,-0.023529,0.000000
-0.920358,-0.494118,-0.070588,0.000000,0.023529
-0.766965,-0.352941,-0.023529,0.023529,0.000000
-0.613572,-0.235294,0.000000,0.070588,-0.023529
-0.460179,-0.141176,0.023529,0.023529,0.000000
-0.306786,-0.070588,0.070588,0.000000,0.023529
-0.153393,-0.023529,0.141176,-0.023529,0.000000
0.000000,0.000000,0.235294,-0.070588,-0.023529
0.153393,0.023529,0.141176,-0.023529,0.000000
0.306786,0.070588,0.070588,0.000000,0.023529
0.460179,0.141176,0.023529,0.023529,0.000000
0.613572,0.235294,0.000000,0.070588,-0.023529
0.766965,0.352941,-0.023529,0.023529,0.000000
0.920358,0.494118,-0.070588,0.000000,0.023529
1.073751,0.658824,-0.141176,-0.023529,0.000000
1.227144,0.847059,-0.235294,-0.070588,-0.023529
1.380537,1.035294,-0.329412,-0.117647,-0.047059
1.533930,1.223529,-0.423529,-0.164706,-0.070588
1.687323,1.411765,-0.517647,-0.211765,-0.094118
1.840716,1.600000,-0.611765,-0.258824,-0.117647
1.994109,1.788235,-0.705882,-0.305882,-0.141176
2.147502,1.976471,-0.800000,-0.352941,-0.164706
2.300895,2.164706,-0.894118,-0.400000,-0.188235
