-2.468854,-2.476190,-1.047619,-0.476190
-2.160247,-2.095238,-0.857143,-0.380952
-1.851640,-1.714286,-0.666667,-0.285714
-1.543033,-1.333333,-0.476190,-0.190476
-1.234427,-0.952381,-0.285714,-0.095238
-0.925820,-0.571429,-0.095238,0.000000
-0.617213,-0.285714,0.000000,0.095238
-0.308607,-0.095238,0.095238,0.000000
0.000000,0.000000,0.285714,-0.095238
0.308607,0.095238,0.095238,0.000000
0.617213,0.285714,0.000000,0.095238
0.925820,0.571429,-0.095238,0.000000
1.234427,0.952381,-0.285714,-0.095238
1.543033,1.333333,-0.476190,-0.190476
1.851640,1.714286,-0.666667,-0.285714
2.160247,2.095238,-0.857143,-0.380952
